aid,location,name,lat,lng,year_built,education,household,parking,complex_facility,move_in_day,subway_distance,convenience_facility
0,서울특별시 강남구 개포동 개포로 311,"우성9차아파트901동,902동",37.4848024,127.0571779,1991,3,233,1,0,11687,4,6
1,서울특별시 강남구 개포동 개포로 409,현대아파트3,37.4878994,127.0609236,1986,4,198,1,0,13454,2,7
2,서울특별시 강남구 개포동 언주로 110,경남1,37.4843872,127.054267,1984,7,678,1,3,14543,8,10
3,서울특별시 강남구 개포동 언주로 110,경남2차,37.4843872,127.054267,1984,7,678,1,3,14543,8,10
4,서울특별시 강남구 논현동 강남대로146길 28,신동아(22),37.5146969,127.0227423,1997,4,644,2,7,9314,4,1
5,서울특별시 강남구 논현동 논현로111길 39,논현동한화꿈에그린,37.5067547,127.0303436,2005,4,70,1,0,6454,6,4
6,서울특별시 강남구 논현동 도산대로50길 43,쌍용,37.5196689,127.0379979,1996,4,111,0,0,9679,6,4
7,서울특별시 강남구 논현동 봉은사로11길 12,e-편한세상,37.5066597,127.0289875,2005,2,63,2,0,6363,7,3
8,서울특별시 강남구 논현동 봉은사로21길 19,한화꿈에그린2차,37.5074711,127.0307946,2006,4,46,0,0,5996,6,4
9,서울특별시 강남구 논현동 언주로116길 12,경남논현,37.5106451,127.0381352,1996,4,60,1,0,9617,9,4
10,서울특별시 강남구 논현동 언주로116길 6,동부센트레빌,37.5102504,127.0375793,2003,4,160,2,0,6944,10,4
11,서울특별시 강남구 논현동 언주로136길 21,우민,37.517802,127.0373364,2002,4,70,1,0,7469,5,3
12,서울특별시 강남구 논현동 학동로46길 38,두산위브1단지,37.5133862,127.0386984,2004,4,130,1,0,6758,7,4
13,서울특별시 강남구 대치동 남부순환로 2912,개포우성2,37.4908748,127.0573085,1984,4,450,1,0,13909,6,3
14,서울특별시 강남구 대치동 도곡로78길 22,대치삼성,37.4965682,127.0588507,2000,7,960,1,3,8187,6,4
15,서울특별시 강남구 대치동 삼성로 151,선경1차(1동-7동),37.4924163,127.0627752,1983,2,1034,1,0,14275,4,4
16,서울특별시 강남구 대치동 삼성로 151,선경2차(8동-12동),37.4924163,127.0627752,1985,2,1034,1,0,14275,4,4
17,서울특별시 강남구 대치동 삼성로51길 37,래미안대치팰리스,37.4942012,127.0584852,2015,6,1278,2,0,2655,6,1
18,서울특별시 강남구 대치동 삼성로85길 38,대치동우정에쉐르1,37.5045644,127.0541516,2004,7,80,1,0,6819,8,6
19,서울특별시 강남구 대치동 선릉로 120,개포우성1,37.5137517,127.0435828,1983,4,690,1,0,14275,5,3
20,서울특별시 강남구 대치동 선릉로 120,개포우성2,37.5137517,127.0435828,1984,4,450,1,0,13909,6,3
21,서울특별시 강남구 대치동 선릉로 222,대치아이파크,37.4953504,127.0544641,2008,7,768,2,7,5635,3,3
22,서울특별시 강남구 대치동 선릉로76길 12,대치한신휴플러스,37.5013596,127.0515885,2005,4,66,1,0,6423,9,6
