iter	Passed	Remaining
0	15	15758
1	26	13272
2	37	12382
3	48	12106
4	59	11775
5	69	11560
6	81	11494
7	91	11368
8	102	11263
9	114	11373
10	125	11265
11	135	11181
12	147	11214
13	159	11198
14	177	11662
15	195	12022
16	210	12187
17	222	12157
18	234	12116
19	246	12076
20	257	12019
21	268	11953
22	279	11888
23	291	11859
24	303	11851
25	315	11818
26	326	11774
27	338	11737
28	350	11737
29	373	12084
30	392	12266
31	409	12390
32	423	12418
33	437	12422
34	451	12450
35	464	12449
36	478	12446
37	491	12431
38	504	12423
39	516	12407
40	529	12389
41	542	12373
42	555	12371
43	569	12382
44	582	12370
45	596	12374
46	609	12368
47	622	12343
48	634	12323
49	648	12321
50	661	12316
51	683	12468
52	702	12545
53	719	12597
54	733	12604
55	747	12596
56	761	12598
57	774	12573
58	787	12556
59	805	12612
60	822	12653
61	837	12664
62	852	12672
63	867	12689
64	884	12724
65	899	12734
66	914	12732
67	928	12724
68	942	12723
69	957	12724
70	972	12722
71	987	12725
72	1002	12735
73	1018	12744
74	1034	12757
75	1058	12869
76	1083	12987
77	1099	13002
78	1117	13027
79	1136	13072
80	1156	13117
81	1177	13181
82	1198	13242
83	1216	13265
84	1233	13283
85	1253	13318
86	1271	13339
87	1290	13371
88	1309	13404
89	1327	13426
90	1346	13445
91	1364	13463
92	1385	13509
93	1407	13565
94	1440	13722
95	1464	13792
96	1485	13827
97	1505	13856
98	1525	13883
99	1545	13911
100	1565	13931
101	1587	13972
102	1607	14003
103	1633	14075
104	1653	14092
105	1674	14125
106	1699	14180
107	1726	14256
108	1753	14331
109	1779	14401
110	1811	14509
111	1840	14589
112	1856	14576
113	1881	14619
114	1903	14648
115	1927	14688
116	1951	14729
117	1974	14756
118	1997	14785
119	2019	14810
120	2042	14839
121	2065	14862
122	2089	14900
123	2112	14922
124	2136	14953
125	2160	14983
126	2182	15003
127	2205	15022
128	2227	15041
129	2251	15067
130	2286	15168
131	2321	15264
132	2343	15277
133	2366	15295
134	2393	15334
135	2417	15356
136	2442	15384
137	2468	15419
138	2495	15460
139	2522	15497
140	2556	15574
141	2582	15603
142	2623	15724
143	2663	15832
144	2695	15891
145	2718	15900
146	2742	15911
147	2772	15958
148	2797	15977
149	2827	16022
150	2865	16113
151	2895	16151
152	2919	16161
153	2942	16166
154	2966	16171
155	2990	16177
156	3013	16178
157	3038	16194
158	3063	16204
159	3089	16219
160	3127	16297
161	3163	16364
162	3191	16388
163	3214	16384
164	3238	16387
165	3261	16388
166	3285	16386
167	3307	16380
168	3331	16383
169	3353	16372
170	3376	16367
171	3398	16362
172	3423	16364
173	3455	16401
174	3491	16458
175	3516	16464
176	3543	16475
177	3567	16472
178	3589	16462
179	3611	16454
180	3635	16447
181	3658	16444
182	3681	16436
183	3704	16430
184	3728	16423
185	3751	16416
186	3774	16407
187	3797	16400
188	3826	16418
189	3849	16409
190	3883	16449
191	3916	16481
192	3939	16472
193	3962	16461
194	3985	16451
195	4008	16444
196	4031	16433
197	4054	16421
198	4077	16411
199	4098	16394
200	4121	16384
201	4145	16377
202	4167	16363
203	4189	16347
204	4212	16334
205	4234	16322
206	4256	16307
207	4279	16295
208	4316	16335
209	4339	16323
210	4365	16323
211	4388	16310
212	4411	16298
213	4432	16281
214	4456	16271
215	4478	16257
216	4501	16241
217	4524	16228
218	4546	16213
219	4569	16199
220	4591	16184
221	4621	16195
222	4665	16254
223	4688	16243
224	4711	16229
225	4735	16219
226	4757	16201
227	4781	16189
228	4804	16176
229	4832	16177
230	4855	16162
231	4879	16151
232	4902	16138
233	4925	16124
234	4948	16108
235	4973	16099
236	4997	16089
237	5019	16071
238	5042	16056
239	5065	16039
240	5088	16024
241	5126	16058
242	5171	16111
243	5195	16096
244	5216	16076
245	5243	16070
246	5266	16055
247	5289	16038
248	5314	16027
249	5337	16013
250	5364	16008
251	5387	15991
252	5411	15978
253	5437	15971
254	5461	15956
255	5492	15961
256	5514	15942
257	5538	15928
258	5561	15911
259	5584	15893
260	5611	15888
261	5635	15874
262	5657	15852
263	5686	15853
264	5708	15832
265	5733	15821
266	5764	15824
267	5809	15866
268	5832	15851
269	5857	15835
270	5879	15817
271	5905	15806
272	5930	15793
273	5953	15774
274	5974	15752
275	5997	15733
276	6019	15712
277	6043	15695
278	6065	15673
279	6088	15657
280	6110	15635
281	6138	15629
282	6164	15618
283	6187	15600
284	6214	15589
285	6252	15610
286	6276	15592
287	6301	15579
288	6323	15557
289	6353	15554
290	6376	15534
291	6399	15515
292	6423	15498
293	6468	15532
294	6494	15521
295	6522	15512
296	6550	15506
297	6575	15488
298	6599	15472
299	6622	15451
300	6644	15429
301	6666	15409
